Model Name,Optimizer,Learning Rate Schedular,Data Augmentation,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss,Precision,Recall,F1-Score
CNN from Scratch,"SGD(learning_rate=0.001, momentum=0.9)",Nothing,Nothing,0.9295,0.1999,0.74,0.7785,0.2912,0.305,0.281
ResNet-152,"SGD(learning_rate=0.001, momentum=0.9)",Nothing,Nothing,0.6453,0.8098,0.6356,0.8521,0.3447,0.3451,0.3428
MobileNetV3,"SGD(learning_rate=0.001, momentum=0.9)",Nothing,Nothing,0.5735,0.946,0.626,0.9266,0.3305,0.3226,0.3164
CNN from Scratch,"SGD(learning_rate=0.001, momentum=0.9)",Nothing,Random Rotation,0.8802,0.3192,0.8058,0.5137,0.328,0.3274,0.327
CNN from Scratch,"SGD(learning_rate=0.001, momentum=0.9)",Nothing,Gaussian Blur,0.9074,0.2529,0.8684,0.3615,0.3317,0.3323,0.3309
CNN from Scratch,"SGD(learning_rate=0.001, momentum=0.9)",Nothing,Grayscale,0.8569,0.3771,0.5104,1.8985,0.2148,0.3258,0.2496
CNN from Scratch,"SGD(learning_rate=0.001, momentum=0.9)",Nothing,Random Flip,0.8978,0.2809,0.7833,0.5527,0.3169,0.3162,0.3038
CNN from Scratch,"SGD(learning_rate=0.001, momentum=0.9)",Nothing,ColorJitter,0.8441,0.3836,0.3708,1.9998,0.2346,0.3419,0.2431
CNN from Scratch,"SGD(learning_rate=0.001, momentum=0.9)",Nothing,MixUp,0.6719,0.7294,0.3339,1.0948,0.1115,0.3339,0.1671
CNN from Scratch,"SGD(learning_rate=0.001, momentum=0.9)",Nothing,RandomCrop,0.8585,0.379,0.6292,0.9523,0.3255,0.3258,0.3184
CNN from Scratch,Adam(learning_rate=0.001),Nothing,Nothing,0.881,0.3287,0.6276,1.6154,0.337,0.3355,0.3274
CNN from Scratch,"AdamW(learning_rate=0.001, weight_decay=0.01)",Nothing,Nothing,0.782,0.6355,0.3339,1.1025,0.2536,0.366,0.2843
CNN from Scratch,RMSprop(learning_rate=0.001),Nothing,Nothing,0.8954,0.2948,0.7945,0.5561,0.2946,0.2953,0.2873
Best - CNN from Scratch,Adam(learning_rate=0.001),LinearLR,Nothing,0.8854,0.2953,0.8604,0.339,0.3318,0.3323,0.3319
Best - ResNet,Adam(learning_rate=0.001),LinearLR,Nothing,0.7423,0.6649,0.7287,0.6902,0.3469,0.3371,0.3343
Best - MobileNet,Adam(learning_rate=0.001),LinearLR,Nothing,0.7034,0.7194,0.7207,0.7346,0.348,0.3451,0.3438
